edad,total,sexo
De 0 a 4 anios,8334,Hombres
De 5 a 9 anios,481,Hombres
De 10 a 14 anios,527,Hombres
De 15 a 19 anios,999,Hombres
De 20 a 24 anios,1403,Hombres
De 25 a 29 anios,1830,Hombres
De 30 a 34 anios,2727,Hombres
De 35 a 39 anios,4213,Hombres
De 40 a 44 anios,6221,Hombres
De 45 a 49 anios,9035,Hombres
De 50 a 54 anios,11795,Hombres
De 55 a 59 anios,14309,Hombres
De 60 a 64 anios,16546,Hombres
De 65 a 69 anios,18228,Hombres
De 70 a 74 anios,20093,Hombres
De 75 a 79 anios,20677,Hombres
De 80 a 84 anios,18828,Hombres
85 y mas anios,21515,Hombres
De 0 a 4 anios,6603,Mujeres
De 5 a 9 anios,432,Mujeres
De 10 a 14 anios,471,Mujeres
De 15 a 19 anios,806,Mujeres
De 20 a 24 anios,1077,Mujeres
De 25 a 29 anios,1298,Mujeres
De 30 a 34 anios,1710,Mujeres
De 35 a 39 anios,2473,Mujeres
De 40 a 44 anios,3728,Mujeres
De 45 a 49 anios,5517,Mujeres
De 50 a 54 anios,7708,Mujeres
De 55 a 59 anios,10008,Mujeres
De 60 a 64 anios,12653,Mujeres
De 65 a 69 anios,14505,Mujeres
De 70 a 74 anios,16731,Mujeres
De 75 a 79 anios,18122,Mujeres
De 80 a 84 anios,18387,Mujeres
85 y mas anios,27281,Mujeres
