Nacimientos registrados,,,,,,,,,,,,,,,,
Año de ocurrencia : 2010,,,,,,,,,,,,,,,,
Ent y mun reside madre : Chihuahua,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Consulta de: Nacimientos registrados   Por: Edad madre al nacimiento   Según: Año de registro,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total
De 15 a 19 años,"10,187","3,009",646,268,228,118,59,42,29,20,17,16,2,9,12,14662
De 20 a 24 años,"14,563","3,550",667,317,231,139,87,51,24,33,12,13,11,7,15,19720
De 25 a 29 años,"11,491","2,471",400,243,173,108,54,47,21,13,5,13,4,6,9,15058
De 30 a 34 años,"7,456","1,491",244,131,91,84,47,27,20,14,7,10,2,7,4,9635
De 35 a 39 años,"3,603",776,119,67,51,34,17,18,15,16,14,7,2,4,5,4748
De 40 a 44 años,720,179,45,34,28,11,17,6,5,3,1,,,1,,1050
De 45 a 49 años,55,22,11,9,6,5,9,3,1,2,,2,2,3,,130
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
FUENTE: INEGI. Estadísticas de natalidad.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
