edad,tipo,qx
0,q,0.018048919
1,q,0.002907326
5,q,0.001352814
10,q,0.002086506
15,q,0.010938748
20,q,0.022411462
25,q,0.02419586
30,q,0.026142319
35,q,0.026625893
40,q,0.031884301
45,q,0.035623458
50,q,0.049801089
55,q,0.066694501
60,q,0.090141087
65,q,0.122400245
70,q,0.183386171
75,q,0.253795772
80,q,0.387043485
85,q,1
0,qi,0.018048919
1,qi,0.002842747
5,qi,0.001291302
10,qi,0.001910177
15,qi,0.005927684
20,qi,0.010863735
25,qi,0.012783085
30,qi,0.014767604
35,qi,0.017095827
40,qi,0.022915948
45,qi,0.029696174
50,qi,0.04543998
55,qi,0.064169104
60,qi,0.088095371
65,qi,0.120875986
70,qi,0.182411475
75,qi,0.252813072
80,qi,0.386593412
85,qi,1
