x,n,mx,ax,qx,px,lx,dx,Lx,Tx,ex,sexo
0,1,0.016888115,0.09032770066,0.0166325942689419,0.983367405731058,1e+05,1663.25942689418,98486.9789727382,6649143.70451865,66.4914370451865,hombre
1,4,0.000837415,1.60344306816,0.0033429509891273,0.996657049010873,98336.7405731058,328.734904166427,392559.130379106,6550656.72554592,66.6145398695212,hombre
5,5,3e-04,2.5,0.00149887584311766,0.998501124156882,98008.0056689394,146.901832129312,489672.773764374,6158097.59516681,62.8325977366401,hombre
10,5,0.000523631,2.5,0.00261473211302232,0.997385267886978,97861.1038368101,255.880570817913,488665.817757006,5668424.82140244,57.9231645583613,hombre
15,5,0.002233479,2.5,0.0111053858845996,0.9888946141154,97605.2232659922,1083.94366872136,485316.257158158,5179759.00364543,53.0684611983278,hombre
20,5,0.003779887,2.5,0.0187225125455543,0.981277487454446,96521.2795972708,1807.12086817285,478088.595815922,4694442.74648727,48.6363500989062,hombre
25,5,0.004851415,2.5,0.0239663976473937,0.976033602352606,94714.158729098,2269.95719093994,467895.90066814,4216354.15067135,44.5166193444319,hombre
30,5,0.005408479,2.5,0.0266816274456855,0.973318372554315,92444.201538158,2466.56174495499,456054.603328403,3748458.25000321,40.5483328065305,hombre
35,5,0.005999929,2.5,0.0295563056613244,0.970443694338676,89977.639793203,2659.40662441246,443239.682404984,3292403.64667481,36.591353743461,hombre
40,5,0.006649561,2.5,0.0327041346541623,0.967295865345838,87318.2331687906,2855.66725531568,429451.997705664,2849163.96426983,32.6296566120646,hombre
45,5,0.008576928,2.5,0.041984397121905,0.958015602878095,84462.5659134749,3546.1099092464,413447.554794259,2419711.96656416,28.6483359864175,hombre
50,5,0.011590255,2.5,0.056319384918382,0.943680615081618,80916.4560042285,4557.16503193347,393189.367441309,2006264.4117699,24.7942694334643,hombre
55,5,0.015753852,2.5,0.0757845149201408,0.924215485079859,76359.290972295,5786.85182598126,367329.325296522,1613075.04432859,21.1248038554189,hombre
60,5,0.023955271,2.5,0.113008482916114,0.886991517083886,70572.4391463138,7975.2842836147,332923.985022532,1245745.71903207,17.6520144988802,hombre
65,5,0.033492811,2.5,0.154525335369402,0.845474664630597,62597.1548626991,9672.846348329,288803.658442673,912821.734009539,14.5824796032939,hombre
70,5,0.050711675,2.5,0.225029338323663,0.774970661676337,52924.3085143701,11909.5221262261,234847.737256285,624018.075566867,11.7907648315789,hombre
75,5,0.066986615,2.5,0.286888800870663,0.713111199129337,41014.786388144,11766.682884861,175657.224728567,389170.338310582,9.48853749054459,hombre
80,5,0.102522231,2.5,0.408030628997188,0.591969371002812,29248.1035032829,11934.1220694194,116405.212342866,213513.113582014,7.30006694478665,hombre
85,,0.17829632,,1,0,17313.9814338636,17313.9814338636,97107.9012391482,97107.9012391482,5.60864071675736,hombre
