x,n,mx,ax,qx,px,lx,dx,Lx,Tx,ex,sexo
0,1,0.013343795,0.090362626,0.0131837702042114,0.986816229795789,1e+05,1318.37702042115,98800.7549892022,7507861.27044221,75.0786127044221,mujer
1,4,0.00055903,1.50174411919,0.0022330013902917,0.997766998609708,98681.6229795789,220.356201309653,394175.985742521,7409060.515453,75.0804485348425,mujer
5,5,0.000241686,2.5,0.00120770028936966,0.99879229971063,98461.2667782692,118.911700379816,492009.054640397,7014884.52971048,71.2451175903284,mujer
10,5,0.000345684,2.5,0.00172692757192307,0.998273072428077,98342.3550778894,169.830124471846,491287.200078267,6522875.47507009,66.3282414774776,mujer
15,5,0.001167206,2.5,0.00581904992503301,0.994180950074967,98172.5249534176,571.270823970481,489434.447707162,6031588.27499182,61.4386589104618,mujer
20,5,0.001404159,2.5,0.00699623543262789,0.993003764567372,97601.2541294471,682.841352409363,486299.167266212,5542153.82728466,56.7836333325613,mujer
25,5,0.001536772,2.5,0.0076544521307254,0.992345547869275,96918.4127770377,741.857351187704,482737.420507219,5055854.66001845,52.1660901695689,mujer
30,5,0.001806767,2.5,0.00899321339702574,0.991006786602974,96176.55542585,864.936286735552,478720.436412411,4573117.23951123,47.5491892931953,mujer
35,5,0.001637115,2.5,0.0081522097378874,0.991847790262113,95311.6191391145,777.000309679701,474615.594921373,4094396.80309882,42.958002813096,mujer
40,5,0.002242601,2.5,0.0111504897513329,0.988849510248667,94534.6188294347,1054.10729840379,470037.825901164,3619781.20817744,38.2905358163921,mujer
45,5,0.003376642,2.5,0.0167418816481694,0.983258118351831,93480.5115310309,1565.03966046283,463489.958503998,3149743.38227628,33.6941179577384,mujer
50,5,0.005086348,2.5,0.0251124138105982,0.974887586189402,91915.4718705681,2308.21936521013,453806.810939815,2686253.42377228,29.2252584804761,mujer
55,5,0.00847363,2.5,0.0414892388524566,0.958510761147543,89607.252505358,3717.73670210718,438741.920771522,2232446.61283247,24.9136822122627,mujer
60,5,0.013277092,2.5,0.064252736273125,0.935747263726875,85889.5158032508,5518.63640753267,415650.987997422,1793704.69206094,20.8838607982123,mujer
65,5,0.020489098,2.5,0.0974536467054849,0.902546353294515,80370.8793957181,7832.43528603944,382273.308763492,1378053.70406352,17.1461817317995,mujer
70,5,0.032747978,2.5,0.151348959047014,0.848651040952986,72538.4441096787,10978.6180068899,335245.675531169,995780.39530003,13.7276227457319,mujer
75,5,0.053055005,2.5,0.234209993993996,0.765790006006004,61559.8261027888,14417.9265018056,271754.31425943,660534.719768861,10.7299640298844,mujer
80,5,0.084253764,2.5,0.347973605012598,0.652026394987402,47141.8996009832,16404.1367512961,194699.156126676,388780.405509431,8.24702459595672,mujer
85,,0.158375747,,1,0,30737.7628496871,30737.7628496871,194081.249382755,194081.249382755,6.3140980796763,mujer
